Objects
100
,,Global Angle drone_agi:drone_agi,,,,,,Global Angle drone_leader:drone_leader,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.048653,0.019837,-1.588696,601.715454,-977.499023,1127.374512,,,,,,
2,0,-0.057409,0.053616,-1.589624,601.838745,-976.293884,1128.779175,,,,,,
3,0,-0.054960,0.056165,-1.589159,602.014099,-975.289490,1128.863770,,,,,,
4,0,-0.048809,0.065941,-1.587025,602.218201,-974.251282,1128.804443,0.769687,0.185583,3.970263,4366.917969,887.972229,1451.061768
5,0,-0.047386,0.069706,-1.588371,602.674805,-973.291992,1128.811035,0.779019,0.187263,3.977481,4362.857910,888.929626,1452.505859
6,0,-0.042252,0.074140,-1.587211,602.677124,-972.350708,1128.942383,0.793714,0.183788,3.967848,4365.585938,889.033752,1452.156006
7,0,-0.039054,0.077185,-1.586904,602.914612,-971.366028,1129.040649,0.778611,0.192036,3.974346,4364.010742,889.418274,1452.116821
8,0,-0.036665,0.080209,-1.586149,603.127502,-970.389221,1129.201050,0.777011,0.193770,3.973877,4362.748535,889.627502,1453.004150
9,0,-0.034142,0.082327,-1.586802,603.428894,-969.394958,1129.378540,0.782783,0.194363,3.972503,4363.183105,890.035950,1452.102051
10,0,-0.032826,0.083708,-1.586601,603.828125,-968.379639,1129.510742,0.793244,0.186786,3.968483,4364.612793,890.398987,1452.617676
11,0,-0.033817,0.083924,-1.587084,604.267639,-967.330994,1129.627441,0.792846,0.190444,3.965212,4365.821289,890.435547,1451.998047
12,0,-0.035264,0.083306,-1.586753,604.643311,-966.200134,1129.844116,0.780788,0.192562,3.970387,4363.317383,890.888550,1452.337280
13,0,-0.034873,0.081427,-1.585297,604.879517,-965.062561,1130.130737,0.795113,0.182303,3.966201,4363.075195,891.579285,1452.698364
14,0,-0.035373,0.080717,-1.585696,605.237488,-963.976379,1130.378418,0.779779,0.192558,3.966980,4363.307129,891.346130,1452.379761
15,0,-0.036145,0.079159,-1.585171,605.589722,-962.894958,1130.627686,0.793614,0.185472,3.960248,4364.298828,891.725342,1452.315430
16,0,-0.037010,0.077661,-1.585482,606.040283,-961.837219,1130.946899,0.794309,0.181970,3.961018,4362.756836,892.112976,1452.754517
17,0,-0.037262,0.076810,-1.585777,606.524109,-960.802979,1131.291748,0.792452,0.182787,3.960952,4360.537598,892.172607,1453.613281
18,0,-0.039158,0.076247,-1.585907,607.049805,-959.795105,1131.593628,0.793224,0.181428,3.959765,4359.954590,892.368835,1453.750610
19,0,-0.039319,0.076540,-1.585764,607.509583,-958.855347,1131.978149,0.772669,0.190483,3.964851,4359.429199,892.491516,1453.399536
20,0,-0.038728,0.077473,-1.585892,608.038574,-958.033691,1132.331299,0.784848,0.184379,3.965279,4358.437500,892.933350,1452.907959
21,0,-0.037824,0.078581,-1.585393,608.536377,-957.234375,1132.639038,0.772773,0.190726,3.964414,4358.443359,892.740784,1453.699341
22,0,-0.036196,0.080103,-1.583558,608.887817,-956.459106,1132.892944,0.772229,0.191042,3.964104,4358.734375,892.764221,1453.459229
23,0,-0.034946,0.081379,-1.584036,609.490784,-955.704346,1133.095093,0.782499,0.183952,3.965305,4357.011230,893.378052,1453.019653
24,0,-0.033102,0.082166,-1.584053,610.034790,-954.953918,1133.214844,0.774923,0.187901,3.965278,4359.388184,892.954468,1452.755005
25,0,-0.032167,0.083001,-1.583356,610.577637,-954.186279,1133.255737,0.770288,0.190926,3.964377,4358.151367,892.864258,1453.431519
26,0,-0.030559,0.083634,-1.583855,611.148560,-953.431091,1133.317993,0.770275,0.191231,3.964152,4357.906738,892.904846,1453.524170
27,0,-0.031740,0.084013,-1.584891,611.954346,-952.648132,1133.208496,0.770176,0.190919,3.964171,4358.307617,892.865540,1453.366577
28,0,-0.031486,0.082741,-1.584858,612.542297,-951.843262,1133.185425,0.769369,0.190620,3.964391,4357.812988,893.054138,1453.477051
29,0,-0.030894,0.081935,-1.583062,612.906311,-951.083374,1133.182129,0.770670,0.190021,3.963854,4358.606934,892.767456,1453.446777
30,0,-0.031879,0.080913,-1.583233,613.523010,-950.398071,1133.158569,0.769612,0.191488,3.964899,4357.319824,893.039856,1453.639893
31,0,-0.031336,0.080805,-1.583833,614.251465,-949.712219,1133.103638,0.771776,0.189931,3.963379,4358.478516,892.809753,1453.466309
32,0,-0.033772,0.080510,-1.584199,615.072388,-949.010254,1132.912231,0.772440,0.188841,3.964374,4358.490723,893.179565,1453.427002
33,0,-0.034001,0.080356,-1.583803,615.770813,-948.349060,1132.807495,0.773209,0.190643,3.962569,4358.408691,892.871826,1453.693359
34,0,-0.032686,0.080983,-1.583446,616.329773,-947.734436,1132.741455,0.770572,0.189470,3.964860,4356.529297,893.374268,1454.411377
35,0,-0.032933,0.080887,-1.583461,617.061340,-947.136963,1132.631958,0.772893,0.189438,3.962843,4356.734375,893.331848,1454.320068
36,0,-0.033966,0.081383,-1.583706,617.866089,-946.612061,1132.490479,0.772337,0.190427,3.962646,4356.623535,893.404602,1454.369263
37,0,-0.035346,0.081925,-1.583760,618.814453,-946.118774,1132.339722,0.772733,0.190015,3.963654,4356.603516,893.445618,1454.732788
38,0,-0.035244,0.082388,-1.583669,619.583679,-945.617126,1132.257812,0.774784,0.190154,3.963367,4356.091797,893.659241,1454.979370
39,0,-0.035018,0.082816,-1.584182,620.374023,-945.126160,1132.190552,0.775400,0.189233,3.962072,4355.666992,893.955261,1455.210571
40,0,-0.032959,0.082687,-1.582629,620.985229,-944.658264,1132.141357,0.775348,0.189929,3.961921,4355.530273,893.985168,1455.403809
41,0,-0.032574,0.082690,-1.581799,621.753296,-944.246887,1132.046509,0.774843,0.190295,3.961887,4356.131836,894.083862,1455.344116
42,0,-0.031625,0.082526,-1.581953,622.605957,-943.825317,1131.951294,0.779936,0.189150,3.960930,4356.331543,894.457031,1454.835693
43,0,-0.033273,0.083152,-1.583076,623.569458,-943.391785,1131.782959,0.783569,0.187093,3.959321,4355.886719,894.412354,1455.146729
44,0,-0.033578,0.083144,-1.583050,624.461365,-943.004517,1131.644043,0.778781,0.191018,3.958605,4356.763672,894.628540,1455.342529
45,0,-0.034487,0.083266,-1.582730,625.341431,-942.628601,1131.519531,0.780198,0.192026,3.955563,4355.641602,894.611755,1455.991089
46,0,-0.034854,0.083181,-1.582485,626.245422,-942.351990,1131.422729,0.780120,0.190896,3.956576,4356.829590,894.968628,1455.513184
47,0,-0.034099,0.084044,-1.581955,627.193604,-942.077393,1131.325562,0.781891,0.190413,3.955980,4357.765137,894.975891,1455.368774
48,0,-0.032068,0.084377,-1.580982,627.972412,-941.776550,1131.337280,0.782766,0.192291,3.953264,4358.222656,894.985535,1455.441406
49,0,-0.032201,0.083787,-1.581103,628.919373,-941.487549,1131.328125,0.783681,0.190917,3.952985,4358.480957,895.164246,1455.675537
50,0,-0.032615,0.083370,-1.581120,629.894409,-941.212280,1131.326294,0.781446,0.192597,3.955446,4360.166504,895.378967,1455.670044
51,0,-0.032535,0.083375,-1.581051,630.783752,-940.919189,1131.352051,0.789449,0.192029,3.950856,4358.974609,895.347290,1456.113525
52,0,-0.033767,0.083015,-1.581443,631.861084,-940.738770,1131.367432,0.791552,0.190548,3.950743,4359.227539,895.422424,1456.095581
53,0,-0.033636,0.082226,-1.580708,632.763855,-940.563782,1131.391968,0.795593,0.191731,3.949097,4360.137207,895.358521,1455.863037
54,0,-0.032667,0.081628,-1.580807,633.687256,-940.427002,1131.403809,0.794364,0.189950,3.952522,4361.250488,895.506531,1455.857300
55,0,-0.030237,0.079854,-1.581287,634.686401,-940.294800,1131.414185,0.794611,0.186863,3.952840,4360.960449,895.693726,1456.129028
56,0,-0.029925,0.076794,-1.581895,635.718140,-940.134033,1131.326050,0.794695,0.186760,3.953781,4361.164551,895.606689,1456.278442
57,0,-0.025685,0.073371,-1.580805,636.356689,-940.017395,1131.391724,0.795667,0.183507,3.954040,4361.226562,895.588440,1456.348755
58,0,-0.022377,0.071745,-1.581738,637.394714,-939.983398,1131.343872,0.801023,0.181854,3.951140,4360.508789,895.361511,1456.434326
59,0,-0.023163,0.070679,-1.581936,638.468079,-939.943604,1131.227051,0.801010,0.179879,3.952273,4359.979004,895.354919,1456.655396
60,0,-0.020658,0.068782,-1.580523,639.171631,-939.931030,1131.243164,0.799278,0.177709,3.952788,4360.897461,895.098083,1456.392822
61,0,-0.021845,0.069448,-1.582134,640.478760,-939.940857,1131.115479,0.793828,0.176271,3.956675,4361.974121,895.173828,1456.120605
62,0,-0.021034,0.069893,-1.581464,641.592957,-939.980408,1131.054321,0.794764,0.175101,3.957423,4361.329102,895.048218,1456.063354
63,0,-0.020975,0.070724,-1.581342,642.696289,-940.000793,1130.985107,0.800919,0.172725,3.952936,4358.854492,894.908875,1456.246094
64,0,-0.022565,0.070977,-1.581801,643.765808,-940.036926,1130.889160,0.798921,0.169284,3.955061,4359.281250,894.730042,1456.040161
65,0,-0.023161,0.071794,-1.581417,644.883667,-940.134460,1130.808594,0.783528,0.178637,3.956228,4359.736328,894.352356,1455.323486
66,0,-0.023839,0.072258,-1.580982,645.995667,-940.261658,1130.750488,0.794094,0.171374,3.955738,4359.460449,894.236572,1455.616821
67,0,-0.021995,0.071685,-1.579814,646.884766,-940.364929,1130.771118,0.790945,0.173392,3.955826,4358.884766,894.195251,1455.462891
68,0,-0.022110,0.070336,-1.580932,648.053284,-940.474548,1130.707520,0.790644,0.173191,3.959131,4356.842285,894.480713,1455.521851
69,0,-0.019532,0.068213,-1.581111,648.998535,-940.627930,1130.690430,0.791719,0.175472,3.960173,4354.801270,894.436768,1455.711304
70,0,-0.017056,0.065433,-1.580745,649.913452,-940.870667,1130.640381,0.781978,0.182713,3.961410,4355.999023,894.147339,1454.372192
71,0,-0.013473,0.062274,-1.580511,650.714111,-941.040283,1130.655884,0.787048,0.181162,3.961317,4355.053223,894.106506,1455.463135
72,0,-0.011083,0.059961,-1.581518,651.551453,-941.326050,1130.572754,0.792800,0.178351,3.962346,4355.071289,894.259155,1454.779541
73,0,-0.008250,0.057865,-1.581367,652.408020,-941.531982,1130.536133,0.789818,0.179817,3.962083,4354.991699,894.178955,1454.767090
74,0,-0.005883,0.055913,-1.581012,653.332703,-941.783936,1130.566650,0.795276,0.179960,3.961009,4354.911621,894.162964,1454.023071
75,0,-0.003067,0.054371,-1.580907,654.103088,-942.086670,1130.669312,0.778087,0.179436,3.956521,4360.123047,893.930725,1452.166382
76,0,-0.003638,0.053289,-1.580806,655.037903,-942.422607,1130.675537,0.773809,0.177584,3.958475,4359.895996,894.069824,1452.487793
77,0,-0.004207,0.053747,-1.580042,656.018066,-942.796265,1130.655029,0.785316,0.179616,3.959985,4354.750977,893.957275,1454.640747
78,0,-0.004595,0.054508,-1.580508,657.038940,-943.168274,1130.671753,0.783386,0.176700,3.960455,4354.014160,894.171387,1454.685059
79,0,-0.005198,0.055306,-1.581184,658.023621,-943.513367,1130.698486,0.790907,0.169766,3.961231,4354.592773,894.440979,1453.704712
80,0,-0.005603,0.055284,-1.581101,658.939697,-943.879578,1130.769775,0.776121,0.167276,3.962175,4355.135254,894.409973,1454.341675
81,0,-0.006117,0.055821,-1.580549,659.885864,-944.259155,1130.858765,0.777684,0.166361,3.959370,4355.263672,894.460571,1454.130127
82,0,-0.006673,0.055951,-1.580930,660.812744,-944.658081,1130.963745,0.778559,0.161566,3.958414,4355.694824,894.651123,1453.994263
83,0,-0.007028,0.056796,-1.581189,661.694580,-945.110657,1131.094604,0.784776,0.155731,3.955307,4356.165039,894.697449,1453.423340
84,0,-0.007877,0.057106,-1.581933,662.686829,-945.587219,1131.219727,0.784678,0.152503,3.954336,4356.348145,894.908508,1453.480103
85,0,-0.007201,0.057086,-1.581895,663.495483,-946.115967,1131.401001,0.782060,0.150956,3.953367,4357.728027,895.023010,1453.058472
86,0,-0.006795,0.056655,-1.582410,664.341736,-946.673279,1131.533447,0.781723,0.150936,3.951684,4357.750488,895.303101,1452.883423
87,0,-0.005084,0.055485,-1.581013,664.872314,-947.219971,1131.680298,0.780614,0.149703,3.950461,4357.449219,895.690613,1452.777710
88,0,-0.004698,0.054938,-1.581203,665.710632,-947.769104,1131.707397,0.776285,0.149217,3.950345,4357.213379,896.076416,1452.757446
89,0,-0.003611,0.054922,-1.581531,666.385071,-948.320923,1131.814575,0.777680,0.147812,3.948264,4355.625977,896.903931,1452.633423
90,0,-0.004522,0.054684,-1.580991,667.043152,-948.843628,1131.898926,0.774970,0.152104,3.946503,4357.919434,896.676697,1451.932861
91,0,-0.004670,0.054056,-1.582260,667.896240,-949.411011,1131.960449,0.784255,0.148699,3.946034,4354.823730,897.707336,1451.870483
92,0,-0.004058,0.053148,-1.582386,668.548706,-950.046082,1132.067749,0.767662,0.161721,3.950376,4354.439453,898.144287,1451.753662
93,0,-0.003191,0.053061,-1.582795,669.182556,-950.672607,1132.127808,0.784970,0.153363,3.945006,4355.727539,898.341431,1450.765747
94,0,-0.002700,0.052427,-1.582953,669.846252,-951.366577,1132.109497,0.776956,0.161421,3.945311,4356.690430,898.604919,1450.312256
95,0,-0.001156,0.051810,-1.581122,670.257874,-952.042603,1132.110107,0.771223,0.172599,3.939850,4360.258789,897.823669,1449.100586
96,0,-0.001209,0.051646,-1.581659,670.947144,-952.749939,1132.007690,0.766136,0.175232,3.938081,4360.181152,898.136292,1448.657104
97,0,-0.003267,0.051852,-1.581684,671.558411,-953.412476,1131.874756,0.751795,0.187152,3.939640,4360.915039,898.357666,1447.176758
