header,t,pose,velocity,acceleration,acc_bias,gyr_bias,jerk,snap,motors,timestamp
"seq: 10711
stamp: 
  secs: 1722274208
  nsecs: 384468079
frame_id: ""world""",1722274208.384468,"position: 
  x: -0.9278868549808604
  y: 0.5423884426643159
  z: 1.2684966952948615
orientation: 
  x: -0.005137910379400435
  y: 0.07287015940616613
  z: 0.00015584910928339565
  w: 0.9973281894422259","linear: 
  x: 0.14417872371975424
  y: 0.10777624817384832
  z: 0.13350183827881673
angular: 
  x: 0.04211725092296575
  y: -0.012225595901582762
  z: 0.011855813790789493","linear: 
  x: 1.2179645316928407
  y: -0.049204734358437946
  z: -0.06076396260568332
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.681739
"seq: 10712
stamp: 
  secs: 1722274208
  nsecs: 394155979
frame_id: ""world""",1722274208.394156,"position: 
  x: -0.9267509704270028
  y: 0.5433799945748334
  z: 1.269832505956008
orientation: 
  x: -0.004763048496694785
  y: 0.07295226147180386
  z: 0.000310208738740289
  w: 0.9973240118866618","linear: 
  x: 0.14469609959723023
  y: 0.10560804656652437
  z: 0.1346716792094676
angular: 
  x: 0.060694177209700585
  y: 0.004200966454752653
  z: 0.0255103670286319","linear: 
  x: 1.1324184092269867
  y: -0.0618441379682806
  z: -0.047121794415628915
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.681847
"seq: 10713
stamp: 
  secs: 1722274208
  nsecs: 406522751
frame_id: ""world""",1722274208.4065228,"position: 
  x: -0.9255220815633968
  y: 0.5451293302513294
  z: 1.2714051559827089
orientation: 
  x: -0.004430906193637822
  y: 0.07298441200023095
  z: 0.00028919739362087585
  w: 0.9973231968826112","linear: 
  x: 0.13677879177907656
  y: 0.11991482712605477
  z: 0.13118155819426838
angular: 
  x: 0.056569499076240946
  y: 0.001992932100858193
  z: 0.010502999750871203","linear: 
  x: 0.9685113315985093
  y: 0.050623586224227114
  z: -0.0686202444256086
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.682181
"seq: 10714
stamp: 
  secs: 1722274208
  nsecs: 414041519
frame_id: ""world""",1722274208.4140415,"position: 
  x: -0.9246006152257453
  y: 0.5460783899744102
  z: 1.2724244724933114
orientation: 
  x: -0.0042119441912663435
  y: 0.07274370054761148
  z: 0.00026213191436638683
  w: 0.997341739246698","linear: 
  x: 0.13940419137560933
  y: 0.12189080243484655
  z: 0.1318766778912814
angular: 
  x: 0.057337472563409236
  y: -0.022729783677496885
  z: 0.005368914442491518","linear: 
  x: 0.9335026425767566
  y: 0.06261750878635984
  z: -0.05951542830412066
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6822238
"seq: 10715
stamp: 
  secs: 1722274208
  nsecs: 424424887
frame_id: ""world""",1722274208.424425,"position: 
  x: -0.9231592172950187
  y: 0.5472770849356016
  z: 1.2738982256998956
orientation: 
  x: -0.004080196104937562
  y: 0.07256805202885935
  z: 0.00023680582868726354
  w: 0.9973550890968981","linear: 
  x: 0.14740451281568973
  y: 0.1202008599294658
  z: 0.13471864676429074
angular: 
  x: 0.04292849129164052
  y: -0.026103436059729743
  z: 0.001896875613754069","linear: 
  x: 0.9213138624296863
  y: 0.045227865670475674
  z: -0.03406159213724842
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6822407
"seq: 10716
stamp: 
  secs: 1722274208
  nsecs: 436660051
frame_id: ""world""",1722274208.43666,"position: 
  x: -0.9202749138186287
  y: 0.5477423482409326
  z: 1.2746704429089875
orientation: 
  x: -0.004306954361064415
  y: 0.07273797025487823
  z: 0.00037406425376295505
  w: 0.9973417157139605","linear: 
  x: 0.1909326869504167
  y: 0.08852286361768923
  z: 0.10652165861868694
angular: 
  x: 0.00016566739612058537
  y: -0.00015289203333475324
  z: 0.01048357739483031","linear: 
  x: 1.1581034792856035
  y: -0.19154550525868005
  z: -0.23784499723873176
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6823592
"seq: 10717
stamp: 
  secs: 1722274208
  nsecs: 444041252
frame_id: ""world""",1722274208.4440413,"position: 
  x: -0.9187768308399283
  y: 0.5483001212399748
  z: 1.275429423284117
orientation: 
  x: -0.004305658349474426
  y: 0.07260834810540566
  z: 0.0004070054626510329
  w: 0.9973511535252442","linear: 
  x: 0.2013879673167411
  y: 0.08409574638289859
  z: 0.10407292304572184
angular: 
  x: -3.4970420452320956e-06
  y: -0.01302454417043663
  z: 0.009857183238626803","linear: 
  x: 1.172296570970664
  y: -0.21397122600190488
  z: -0.2430036510570155
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6823719
"seq: 10718
stamp: 
  secs: 1722274208
  nsecs: 454138994
frame_id: ""world""",1722274208.454139,"position: 
  x: -0.9168252430089816
  y: 0.54920292274182
  z: 1.2766506042077936
orientation: 
  x: -0.0042050622952095225
  y: 0.07236759916566995
  z: 0.0005698522231578163
  w: 0.9973690005762833","linear: 
  x: 0.20857578102643679
  y: 0.0841454922497801
  z: 0.10757660598045655
angular: 
  x: 0.006751490368782335
  y: -0.026580902685049628
  z: 0.02046728246029898","linear: 
  x: 1.1378448195671145
  y: -0.1973947991275835
  z: -0.1989364666453864
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6823964
"seq: 10719
stamp: 
  secs: 1722274208
  nsecs: 464084625
frame_id: ""world""",1722274208.4640846,"position: 
  x: -0.914981265263969
  y: 0.5502470578337071
  z: 1.2780480529710778
orientation: 
  x: -0.00431102393760845
  y: 0.07249339471120711
  z: 0.0007397102014543483
  w: 0.9973593011671734","linear: 
  x: 0.2106035563138478
  y: 0.08922145227199961
  z: 0.11652028212808133
angular: 
  x: -0.005330231682898774
  y: -0.003981817014887321
  z: 0.02642311468609738","linear: 
  x: 1.0692974295410649
  y: -0.1454306062771424
  z: -0.11835178363577684
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6824129
"seq: 10720
stamp: 
  secs: 1722274208
  nsecs: 474664211
frame_id: ""world""",1722274208.4746642,"position: 
  x: -0.9113405633413537
  y: 0.5520826665086946
  z: 1.2797020286409033
orientation: 
  x: -0.004159174977292231
  y: 0.0726348797365015
  z: 0.0007620215922801762
  w: 0.9973496351993443","linear: 
  x: 0.2640793943825381
  y: 0.1159195254472588
  z: 0.12876374308154592
angular: 
  x: 0.008270782519242856
  y: 0.009932458256833724
  z: 0.01687017368792929","linear: 
  x: 1.376761223059028
  y: 0.06090661645531098
  z: -0.019579841588901747
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6824386
"seq: 10721
stamp: 
  secs: 1722274208
  nsecs: 485709429
frame_id: ""world""",1722274208.4857094,"position: 
  x: -0.9087029017843667
  y: 0.5534323464910343
  z: 1.2812689654217013
orientation: 
  x: -0.00424370662023081
  y: 0.07253724154451817
  z: 0.0008168471642234575
  w: 0.997356341687335","linear: 
  x: 0.2669810495718372
  y: 0.11881543069770086
  z: 0.13349164132256913
angular: 
  x: -0.003974836138113083
  y: -0.004042044458069392
  z: 0.012753951636030545","linear: 
  x: 1.2847688934149464
  y: 0.07752716322837094
  z: 0.01738285668656874
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6824553
