timestamp,data,cov
1722284410.9713411,"[-0.12949980795383453, -2.5588831901550293, 1.2423728704452515, -0.009565087966620922, 0.03535769134759903, -0.014250371605157852, 0.9992273449897766, -0.10970726490145634, -0.2490429131329278, 0.02063306450816528, -0.029201556673345893, -0.21094322478757904, -0.027867066087161687]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284410.9751985,"[-0.13010403513908386, -2.5600645542144775, 1.2424861192703247, -0.009633387438952923, 0.03484458848834038, -0.014286396093666553, 0.999244213104248, -0.11069201915117749, -0.24401320560029457, 0.016466374820649932, -0.013177884761127426, -0.20024874742747317, -0.0034081070384684186]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284410.9802592,"[-0.13068357110023499, -2.5612599849700928, 1.2426334619522095, -0.00965769961476326, 0.034358881413936615, -0.014279869385063648, 0.9992609024047852, -0.10925078864786357, -0.2421461401777407, 0.016592626214542425, -0.006652331624837204, -0.187557688932242, -0.0042975023561453414]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284410.9851077,"[-0.13125376403331757, -2.562448263168335, 1.2427784204483032, -0.009681020863354206, 0.03390935808420181, -0.014301101677119732, 0.9992757439613342, -0.1078042925530477, -0.2402955451070101, 0.016685898833660257, -0.0014985312133902295, -0.1716583971251556, -0.010874462534231038]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284410.9900658,"[-0.13181383907794952, -2.5636582374572754, 1.242903470993042, -0.009693114086985588, 0.03348164260387421, -0.014337506145238876, 0.9992895722389221, -0.10574565805915882, -0.24278601955702134, 0.014168203948585888, -0.008767927103353336, -0.17580923326185435, -0.028735469466614868]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284410.9949932,"[-0.13236987590789795, -2.564854860305786, 1.2430332899093628, -0.009732093662023544, 0.033042408525943756, -0.014425544999539852, 0.9993025064468384, -0.10442339645797902, -0.24268840597707345, 0.013568691994795067, -0.006852735359842551, -0.16647694640045835, -0.037446077585046846]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284410.999886,"[-0.1329168677330017, -2.566051959991455, 1.2431609630584717, -0.009755799546837807, 0.03265675902366638, -0.01449589990079403, 0.9993139505386353, -0.10291908406960118, -0.24259328171007202, 0.013099011041800163, -0.014049410086467254, -0.14407785465368853, -0.021422132664930787]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0054653,"[-0.1337355375289917, -2.5670504570007324, 1.2441494464874268, -0.009770357981324196, 0.03243274241685867, -0.014592546969652176, 0.9993196725845337, -0.10555803952106203, -0.2385132955778162, 0.021452137001563266, -0.026971962446913585, -0.11668170301597766, -0.014024642231123567]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0100477,"[-0.1342851221561432, -2.568221092224121, 1.2443108558654785, -0.009858166798949242, 0.032153427600860596, -0.014630667865276337, 0.9993273019790649, -0.10378721293915152, -0.2365711879984521, 0.020503536307187376, -0.04174261383971998, -0.11754934605950804, -0.021509616592596453]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0151167,"[-0.13482555747032166, -2.569382429122925, 1.244462490081787, -0.009962879121303558, 0.03186379745602608, -0.014682823792099953, 0.9993348121643066, -0.10193045037581643, -0.23462944718268886, 0.019160576766889384, -0.026020414544305665, -0.1019857392865369, -0.02261494402815982]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
