layout,data,timestamp
"dim: []
data_offset: 0","(2.2032067237724315, 0.1863406716893902, 1.2588745147682552, -0.058977983703278225, 0.026567892705112207, 0.13261754736578396, 1.0, 0.0, 0.0, 0.0, 0.0, 0.015729427337646484, 1722528247.2056942)",1722528247.2510142
"dim: []
data_offset: 0","(2.186382564526363, 0.1862480969525426, 1.2564842850084927, -0.12468711574995867, 0.025981725231613725, 0.1144218854138137, 1.0, 0.0, 0.0, 0.0, 0.0, 0.015094518661499023, 1722528247.2215657)",1722528247.2510357
"dim: []
data_offset: 0","(2.1931514566322434, 0.200856995412942, 1.2683504500332636, -0.08524713862777861, 0.017760866801659295, 0.1705961739960464, 1.0, 0.0, 0.0, 0.0, 0.0, 0.017197370529174805, 1722528247.2482889)",1722528247.2512946
"dim: []
data_offset: 0","(2.1873288426510014, 0.2107535761329204, 1.2854183442552138, -0.07682492531360849, -0.012123840316568615, 0.2256828599600984, 1.0, 0.0, 0.0, 0.0, 0.0, 0.010756969451904297, 1722528247.2659729)",1722528247.266469
"dim: []
data_offset: 0","(2.188368903955475, 0.20563002223494728, 1.2894966805809978, -0.07431950576133463, -0.04102440851515505, 0.27764283761960223, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0187070369720459, 1722528247.299031)",1722528247.2995305
"dim: []
data_offset: 0","(2.1772437723581017, 0.19762519962230013, 1.3058114030568793, -0.07781207843178746, -0.0492255862211338, 0.3177266081351948, 1.0, 0.0, 0.0, 0.0, 0.0, 0.015958786010742188, 1722528247.3217978)",1722528247.327237
"dim: []
data_offset: 0","(2.172905275349091, 0.20540475880128328, 1.3234932670535344, -0.052431429947174424, -0.048544638485961494, 0.37880838308779635, 1.0, 0.0, 0.0, 0.0, 0.0, 0.02714085578918457, 1722528247.3576763)",1722528247.3586447
"dim: []
data_offset: 0","(2.16500639970689, 0.20743776948539142, 1.3552012531030582, -0.03400457640351014, -0.05476463153572744, 0.4206738300533801, 1.0, 0.0, 0.0, 0.0, 0.0, 0.01018977165222168, 1722528247.3682911)",1722528247.3692317
"dim: []
data_offset: 0","(2.172952056461025, 0.19616421857219551, 1.378114159841253, 0.038811046252172486, -0.10367626442827199, 0.43329821806990393, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0152740478515625, 1722528247.3963385)",1722528247.397782
"dim: []
data_offset: 0","(2.1668003747781484, 0.19593859356664775, 1.3736170358429174, 0.057924377196286174, -0.11287285881905933, 0.37648819869105965, 1.0, 0.0, 0.0, 0.0, 0.0, 0.018523693084716797, 1722528247.4238977)",1722528247.424335
"dim: []
data_offset: 0","(2.1759588444558817, 0.20580991499296467, 1.395272378147332, 0.12558359973003155, -0.10301395362653162, 0.41437323324490394, 1.0, 0.0, 0.0, 0.0, 0.0, 0.020363807678222656, 1722528247.4505801)",1722528247.450981
"dim: []
data_offset: 0","(2.1913306741863225, 0.1798532534554151, 1.411667596761034, 0.17027413301428482, -0.11604462012954012, 0.4698126762895089, 1.0, 0.0, 0.0, 0.0, 0.0, 0.01629805564880371, 1722528247.4715593)",1722528247.4720876
"dim: []
data_offset: 0","(2.1916083233240293, 0.17752013160599295, 1.4163193090902007, 0.15827254683642206, -0.08123101438814845, 0.45162885615192894, 1.0, 0.0, 0.0, 0.0, 0.0, 0.02943277359008789, 1722528247.5096672)",1722528247.5101287
"dim: []
data_offset: 0","(2.1880703817239078, 0.1818690427465055, 1.4216698678387583, 0.1280675674447395, -0.0220255096201117, 0.41949508867100693, 1.0, 0.0, 0.0, 0.0, 0.0, 0.02682781219482422, 1722528247.5371056)",1722528247.537562
"dim: []
data_offset: 0","(2.1865937563746427, 0.17267289144610365, 1.419494390271647, 0.08589976314296993, 0.03171521674344867, 0.3655664144970397, 1.0, 0.0, 0.0, 0.0, 0.0, 0.029558181762695312, 1722528247.5672455)",1722528247.567726
"dim: []
data_offset: 0","(2.1737516759274853, 0.1901981112291144, 1.4248559655329711, 0.054671062777107704, 0.10486531331775067, 0.3210504069537695, 1.0, 0.0, 0.0, 0.0, 0.0, 0.020891427993774414, 1722528247.5886765)",1722528247.590451
"dim: []
data_offset: 0","(2.180396288000829, 0.19729876028920498, 1.4256798484839883, 0.06992230313653384, 0.13723616117310317, 0.2623957664474094, 1.0, 0.0, 0.0, 0.0, 0.0, 0.020516633987426758, 1722528247.611204)",1722528247.6116216
"dim: []
data_offset: 0","(2.167442530960582, 0.21206664729694727, 1.4208556447159693, 0.004475575628941349, 0.237220675589448, 0.19192928904822637, 1.0, 0.0, 0.0, 0.0, 0.0, 0.014667034149169922, 1722528247.6263347)",1722528247.6270802
"dim: []
data_offset: 0","(2.1721580259708926, 0.21897710702319562, 1.4180295874366324, 0.027116329719352367, 0.2738092659883768, 0.16211659904636905, 1.0, 0.0, 0.0, 0.0, 0.0, 0.019914865493774414, 1722528247.650162)",1722528247.6507127
"dim: []
data_offset: 0","(2.170933959779983, 0.22739789677214706, 1.440748684724811, 0.01730912416406322, 0.27021182007924155, 0.18400139684206668, 1.0, 0.0, 0.0, 0.0, 0.0, 0.016674280166625977, 1722528247.671881)",1722528247.6744556
"dim: []
data_offset: 0","(2.1776679751189705, 0.24095978304854096, 1.427537050090507, 0.03838956353614121, 0.2556746254008365, 0.13230712099541428, 1.0, 0.0, 0.0, 0.0, 0.0, 0.02131938934326172, 1722528247.702963)",1722528247.7038891
