layout,data,timestamp
"dim: []
data_offset: 0","(0.0, 1.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.397313)",1724169220.3977718
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.3993282)",1724169220.4007413
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.399985)",1724169220.4018614
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.4004183)",1724169220.4025867
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.4008062)",1724169220.404006
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.4013062)",1724169220.4040728
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.4017673)",1724169220.4040859
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.4021618)",1724169220.4040983
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.4025795)",1724169220.4041097
"dim: []
data_offset: 0","(0.0, 0.0, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, -0.25011478805909115, 0.00646204225380788, 0.8378768013424, 1.671772705078125, 2.37533984375, 0.984241455078125, 1724169220.402958)",1724169220.4041157
"dim: []
data_offset: 0","(0.0, 1.0, -0.3276290287615663, -0.004085614912715843, 0.8022229557895907, -0.3276290287615663, -0.004085614912715843, 0.8022229557895907, 1.6189703369140624, 2.36869140625, 0.966762451171875, 1724169220.449345)",1724169220.449738
"dim: []
data_offset: 0","(0.0, 0.0, -0.3276290287615663, -0.004085614912715843, 0.8022229557895907, -0.3276290287615663, -0.004085614912715843, 0.8022229557895907, 1.6189703369140624, 2.36869140625, 0.966762451171875, 1724169220.450287)",1724169220.4523447
"dim: []
data_offset: 0","(0.0, 0.0, -0.3276290287615663, -0.004085614912715843, 0.8022229557895907, -0.3276290287615663, -0.004085614912715843, 0.8022229557895907, 1.6189703369140624, 2.36869140625, 0.966762451171875, 1724169220.4529839)",1724169220.4617217
"dim: []
data_offset: 0","(1.0, 1.0, -0.3937096110886582, -0.01260552177412959, 0.793129116507255, -0.37809978734837846, -0.010421396925720246, 0.7964191428226143, 1.5580753173828126, 2.35973974609375, 0.9646749267578125, 1724169220.4853716)",1724169220.4863038
"dim: []
data_offset: 0","(1.0, 1.0, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, 1.5580753173828126, 2.35973974609375, 0.9646749267578125, 1724169220.5096428)",1724169220.510302
"dim: []
data_offset: 0","(1.0, 0.0, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, 1.5580753173828126, 2.35973974609375, 0.9646749267578125, 1724169220.510795)",1724169220.5123258
"dim: []
data_offset: 0","(1.0, 0.0, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, 1.5580753173828126, 2.35973974609375, 0.9646749267578125, 1724169220.5127716)",1724169220.51361
"dim: []
data_offset: 0","(1.0, 0.0, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, 1.5580753173828126, 2.35973974609375, 0.9646749267578125, 1724169220.5140727)",1724169220.5145624
"dim: []
data_offset: 0","(1.0, 0.0, -0.4567678249892753, -0.01927984362472472, 0.7693782466749426, -0.42561750889727373, -0.016682787602026194, 0.7882271717284798, 1.521722412109375, 2.35357080078125, 0.9702744140625, 1724169220.5180428)",1724169220.518565
"dim: []
data_offset: 0","(1.0, 1.0, -0.4822775644768834, -0.02101815098877873, 0.7596125798423868, -0.4822775644768834, -0.02101815098877873, 0.7596125798423868, 1.521722412109375, 2.35357080078125, 0.9702744140625, 1724169220.5336626)",1724169220.5340865
"dim: []
data_offset: 0","(1.0, 0.0, -0.4822775644768834, -0.02101815098877873, 0.7596125798423868, -0.4822775644768834, -0.02101815098877873, 0.7596125798423868, 1.521722412109375, 2.35357080078125, 0.9702744140625, 1724169220.5350266)",1724169220.5374415
"dim: []
data_offset: 0","(1.0, 0.0, -0.4822775644768834, -0.02101815098877873, 0.7596125798423868, -0.4822775644768834, -0.02101815098877873, 0.7596125798423868, 1.521722412109375, 2.35357080078125, 0.9702744140625, 1724169220.5379586)",1724169220.5396216
"dim: []
data_offset: 0","(1.0, 1.0, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, 1.521722412109375, 2.35357080078125, 0.9702744140625, 1724169220.5555944)",1724169220.5602572
"dim: []
data_offset: 0","(1.0, 0.0, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, 1.521722412109375, 2.35357080078125, 0.9702744140625, 1724169220.5561786)",1724169220.5612404
"dim: []
data_offset: 0","(1.0, 0.0, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, 1.521722412109375, 2.35357080078125, 0.9702744140625, 1724169220.558388)",1724169220.5612774
"dim: []
data_offset: 0","(1.0, 0.0, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, -0.5071733432207933, -0.0237625176897312, 0.7478798549249647, 1.4665003662109375, 2.34362939453125, 0.9862341918945312, 1724169220.559098)",1724169220.5612917
