timestamp,data
1724181268.6273386,"[0.05563629408752677, -0.05595663740912069, -0.030783701302008994, 0.0, 0.0, 0.0]"
1724181268.6287425,"[0.05602626811150476, -0.05634885683021266, -0.030999474909266064, 0.0, 0.0, 0.0]"
1724181268.6376016,"[0.057924297621080055, -0.05708070646925864, -0.031476168668445256, 0.0, 0.0, 0.0]"
1724181268.6481774,"[0.05898539457981725, -0.05698402433304674, -0.0320041150081795, 0.0, 0.0, 0.0]"
1724181268.658509,"[0.059459411420174, -0.05711174955420533, -0.03276621781073731, 0.0, 0.0, 0.0]"
1724181268.6633792,"[0.05667919701186997, -0.05026169197927873, -0.027777427086250108, 0.0, 0.0, 0.0]"
1724181268.6694398,"[0.05702464350171882, -0.05036975088518586, -0.028536514073218323, 0.0, 0.0, 0.0]"
1724181268.6792924,"[0.05791124336121579, -0.050030728720477646, -0.029124741892787995, 0.0, 0.0, 0.0]"
1724181268.6883106,"[0.05864674508944933, -0.04996871921852468, -0.02951275194763841, 0.0, 0.0, 0.0]"
1724181268.6907551,"[0.05711703852647935, -0.04932783754324514, -0.028731382736939336, 0.0, 0.0, 0.0]"
1724181268.699917,"[0.05832935127606102, -0.049952321748364344, -0.02937321516698502, 0.0, 0.0, 0.0]"
1724181268.713053,"[0.05946185766994253, -0.049976734206860794, -0.029795952134777988, 0.0, 0.0, 0.0]"
1724181268.7185233,"[0.060300485698513207, -0.04977989680213582, -0.029910911634614918, 0.0, 0.0, 0.0]"
1724181268.7232804,"[0.06295650669807953, -0.04079266307427807, -0.02655323743662924, 0.0, 0.0, 0.0]"
1724181268.7280505,"[0.06339779062353336, -0.04107859295563983, -0.026739358259783186, 0.0, 0.0, 0.0]"
1724181268.7425861,"[0.06428147057748669, -0.03964281251310649, -0.02557474389722878, 0.0, 0.0, 0.0]"
1724181268.7452402,"[0.0633989027265789, -0.03907095275038296, -0.025202502250920897, 0.0, 0.0, 0.0]"
1724181268.7521183,"[0.06384328755877454, -0.03934481456872677, -0.025379155304081556, 0.0, 0.0, 0.0]"
1724181268.7581322,"[0.06474104474098506, -0.038745647686349756, -0.02459565642703051, 0.0, 0.0, 0.0]"
1724181268.7682462,"[0.06518860741675558, -0.03901339014464178, -0.024765579443297162, 0.0, 0.0, 0.0]"
1724181268.7706015,"[0.06387471961082547, -0.037663581735470755, -0.021781331573640806, 0.0, 0.0, 0.0]"
1724181268.7775872,"[0.06432243960809761, -0.03792757880371003, -0.021934004458502774, 0.0, 0.0, 0.0]"
1724181268.7875168,"[0.06490575193757071, -0.037796934318808505, -0.02108576108459505, 0.0, 0.0, 0.0]"
1724181268.789298,"[0.0670548606418551, -0.03554914647220524, -0.022178696268503533, 0.0, 0.0, 0.0]"
1724181268.7977252,"[0.06752487134728867, -0.03579832273252444, -0.022334154419918276, 0.0, 0.0, 0.0]"
1724181268.8087633,"[0.06944498236000758, -0.034682668101887124, -0.018980261696887026, 0.0, 0.0, 0.0]"
1724181268.8197596,"[0.06992515731993147, -0.03492227779054074, -0.019111121594508926, 0.0, 0.0, 0.0]"
1724181268.8244164,"[0.06894002918627423, -0.03373510983113537, -0.017637016748103963, 0.0, 0.0, 0.0]"
1724181268.8288403,"[0.06975125191906513, -0.033428604209443845, -0.01650591626317753, 0.0, 0.0, 0.0]"
1724181268.839029,"[0.07045122936258627, -0.032666119094865886, -0.014464644371360429, 0.0, 0.0, 0.0]"
1724181268.8434737,"[0.06948248130229409, -0.03219700283558766, -0.014226191270457772, 0.0, 0.0, 0.0]"
1724181268.8507836,"[0.07019902365323737, -0.031685823911554896, -0.012647396884676915, 0.0, 0.0, 0.0]"
1724181268.8578866,"[0.07095774950477468, -0.03124683342352173, -0.01193397635870669, 0.0, 0.0, 0.0]"
1724181268.8681996,"[0.07181667690576984, -0.030882357000908356, -0.011216580412787554, 0.0, 0.0, 0.0]"
1724181268.8713596,"[0.07157890581725697, -0.023793496306851743, -0.01895749651308175, 0.0, 0.0, 0.0]"
1724181268.878137,"[0.07233888088855114, -0.023299536216435802, -0.017884670163505326, 0.0, 0.0, 0.0]"
1724181268.88838,"[0.07305097615422482, -0.022793081542176505, -0.016712662001181686, 0.0, 0.0, 0.0]"
1724181268.8996203,"[0.07424213112217698, -0.02183507356969734, -0.014060364221733434, 0.0, 0.0, 0.0]"
