Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.023890,0.012600,1.485677,2308.129395,-3006.479248,1020.466553,-0.045440,-0.147328,-1.661485,2446.191406,-993.713806,1018.821960
2,0,0.024755,0.015536,1.481028,2307.983154,-3008.259521,1020.475037,-0.045770,-0.147275,-1.661492,2445.802734,-993.459778,1018.912048
3,0,0.014571,0.018898,1.484107,2307.792236,-3009.883057,1020.594482,-0.045282,-0.146719,-1.661190,2445.402588,-993.203674,1018.988586
4,0,0.026563,0.008838,1.484786,2307.102051,-3011.579346,1020.247925,-0.045524,-0.146763,-1.661888,2445.019775,-992.966064,1019.034973
5,0,0.016808,0.019107,1.484477,2307.015625,-3013.195312,1020.315979,-0.045690,-0.147266,-1.662082,2444.667725,-992.694763,1019.066833
6,0,0.018154,0.016127,1.485505,2306.555664,-3014.880371,1020.125061,-0.045737,-0.147080,-1.662138,2444.290527,-992.393982,1019.081848
7,0,0.022745,0.012958,1.480350,2306.108643,-3016.721924,1019.967407,-0.040423,-0.151248,-1.662777,2443.877197,-991.977112,1018.877747
8,0,0.013620,0.019952,1.483781,2305.926270,-3018.346191,1020.009888,-0.040399,-0.147061,-1.662097,2443.572998,-991.695801,1019.012085
9,0,0.013782,0.019554,1.482949,2305.543213,-3020.197510,1019.876831,-0.037449,-0.147429,-1.662075,2443.310791,-991.364624,1019.199341
10,0,0.011406,0.021245,1.483054,2304.949707,-3021.835938,1019.640564,-0.034463,-0.147133,-1.662381,2443.032959,-991.008972,1019.392944
11,0,0.018847,0.014015,1.481034,2304.291992,-3023.756836,1019.466492,-0.037148,-0.145832,-1.661727,2442.724854,-990.567627,1019.393066
12,0,0.013330,0.017002,1.478208,2304.186523,-3025.582520,1019.647461,-0.037813,-0.145942,-1.661785,2442.441406,-990.098755,1019.485229
13,0,0.005182,0.016469,1.482046,2303.564209,-3027.093262,1019.447205,-0.037906,-0.146082,-1.662569,2442.053711,-989.628052,1019.528992
14,0,0.003068,0.016464,1.478323,2302.954590,-3029.075928,1019.446045,-0.036714,-0.147551,-1.663147,2441.818115,-989.140930,1019.719360
15,0,-0.002945,0.012868,1.481207,2302.422363,-3030.549561,1019.563049,-0.035773,-0.147690,-1.662648,2441.539551,-988.606018,1019.852417
16,0,-0.004675,0.009965,1.478040,2301.625732,-3032.423096,1019.431946,-0.035376,-0.148367,-1.662307,2441.325439,-988.059448,1020.048401
17,0,-0.012506,0.010659,1.481300,2300.942627,-3033.964844,1019.346924,-0.034667,-0.148177,-1.661570,2441.070312,-987.483948,1020.236389
18,0,-0.007434,0.003221,1.474674,2300.320557,-3036.180420,1019.395447,-0.040998,-0.147230,-1.660473,2440.930664,-986.986938,1020.487671
19,0,-0.011710,0.001834,1.477551,2299.697266,-3037.638428,1019.331238,-0.042042,-0.146511,-1.660473,2440.716064,-986.374390,1020.626160
20,0,-0.013586,0.007590,1.480403,2298.930664,-3039.093750,1019.120544,-0.044752,-0.145227,-1.660104,2440.558594,-985.643372,1020.643921
21,0,-0.009739,0.008208,1.478371,2298.534180,-3040.859375,1019.223572,-0.048365,-0.143426,-1.659516,2440.389648,-984.924805,1020.649780
22,0,-0.006640,0.011663,1.477211,2297.873291,-3042.581543,1019.000916,-0.046982,-0.143863,-1.660691,2440.345459,-984.333740,1020.887878
23,0,-0.008205,0.016854,1.478863,2297.367676,-3044.218018,1019.090393,-0.040814,-0.143282,-1.661727,2440.245117,-983.693604,1020.976807
24,0,-0.004411,0.014140,1.476906,2296.698730,-3046.056396,1019.153809,-0.041718,-0.142599,-1.661580,2440.172119,-982.967590,1021.092407
25,0,-0.021418,0.017432,1.474370,2296.494141,-3048.020264,1019.414307,-0.037637,-0.142108,-1.662989,2440.004150,-982.193298,1021.076782
26,0,-0.011134,0.019649,1.473790,2295.584961,-3049.887695,1019.111755,-0.048396,-0.141868,-1.659784,2439.877441,-981.426086,1021.283020
27,0,-0.010627,0.018770,1.475484,2294.654297,-3051.198975,1018.763428,-0.046311,-0.142501,-1.659842,2439.719482,-980.692627,1021.390320
28,0,-0.002137,0.023282,1.476392,2293.373047,-3052.586914,1018.288025,-0.045305,-0.143239,-1.659520,2439.573975,-979.901611,1021.319519
29,0,0.006437,0.017311,1.473630,2292.658447,-3054.218018,1018.289795,-0.046922,-0.142898,-1.659020,2439.491699,-979.070068,1021.156921
30,0,0.000103,0.020556,1.476326,2291.711914,-3055.733154,1018.106567,-0.042240,-0.143427,-1.660542,2439.371582,-978.239197,1021.009583
31,0,0.004683,0.021917,1.476036,2291.010498,-3057.448486,1018.097656,-0.046030,-0.143030,-1.659453,2439.346436,-977.406982,1021.078735
32,0,0.003868,0.018925,1.476673,2289.936035,-3059.151123,1017.890686,-0.041449,-0.142580,-1.660339,2439.246826,-976.538269,1020.929077
33,0,0.006873,0.019342,1.475485,2289.082520,-3060.699951,1017.841309,-0.043663,-0.142093,-1.660396,2439.303467,-975.786316,1021.075134
34,0,0.014051,0.014308,1.472871,2287.898682,-3062.388428,1017.520996,-0.042338,-0.141199,-1.659990,2439.258057,-974.953613,1021.005615
