Frame,Sub Frame,RX_c,RY_c,RZ_c,TX_c,TY_c,TZ_c,RX_l,RY_l,RZ_l,TX_l,TY_l,TZ_l
1,0,-0.087616,-0.137668,-1.594355,2454.432861,-1452.622314,995.513000,0.053979,-0.570600,1.672772,2213.357422,-2829.397949,1073.806519
2,0,-0.084845,-0.139190,-1.594753,2455.081787,-1452.756104,995.897827,0.024001,-0.558161,1.671499,2213.400879,-2829.986328,1075.141113
3,0,-0.082212,-0.140402,-1.594624,2455.659424,-1452.844727,996.252747,0.012843,-0.541184,1.671895,2213.503662,-2830.705811,1076.138184
4,0,-0.079202,-0.142542,-1.594885,2456.242432,-1452.937500,996.547180,0.027959,-0.524277,1.681824,2214.009766,-2831.049561,1076.569702
5,0,-0.078109,-0.144912,-1.594686,2456.830322,-1452.974609,996.790710,0.022921,-0.522224,1.686733,2214.327393,-2831.592529,1077.181885
6,0,-0.076587,-0.145820,-1.595136,2457.472168,-1452.975464,997.002014,0.025395,-0.544209,1.682583,2214.584473,-2831.910400,1077.367676
7,0,-0.076094,-0.145837,-1.595344,2458.218750,-1452.960693,997.263367,-0.027191,0.016299,1.633768,2213.278809,-2832.209473,1090.775513
8,0,-0.075862,-0.145987,-1.595819,2459.020020,-1452.908203,997.595459,-0.259093,0.114513,1.601170,2215.742188,-2835.644531,1095.103027
9,0,-0.074875,-0.145972,-1.595839,2459.791504,-1452.848145,997.862732,-0.281637,0.126569,1.598870,2215.819336,-2836.074707,1095.616211
10,0,-0.074328,-0.146467,-1.595424,2460.517090,-1452.772705,998.074524,-0.027630,0.015062,1.627179,2213.479492,-2833.878662,1092.095825
11,0,-0.072995,-0.147358,-1.595513,2461.164307,-1452.653809,998.286072,-0.028755,0.016112,1.626167,2213.561035,-2834.485596,1092.580444
12,0,-0.071383,-0.148149,-1.596067,2461.818115,-1452.521484,998.562683,-0.020878,0.009026,1.623367,2213.556885,-2835.534424,1093.560669
13,0,-0.069685,-0.148952,-1.595986,2462.467041,-1452.386597,998.856384,-0.027352,0.016594,1.622321,2213.606445,-2835.864258,1093.498535
14,0,-0.069276,-0.150248,-1.595716,2463.129639,-1452.230225,999.084595,-0.027920,0.018076,1.620522,2213.599609,-2836.654785,1093.861572
15,0,-0.067404,-0.150009,-1.595682,2463.793213,-1452.090088,999.309204,-0.023939,0.014626,1.620877,2213.639648,-2837.543945,1094.490234
16,0,-0.066871,-0.149288,-1.595176,2464.452393,-1451.948364,999.496338,0.377538,-1.427398,1.292342,2218.110107,-2821.729004,1067.709106
17,0,-0.066481,-0.148575,-1.595163,2465.164551,-1451.708740,999.674805,0.407043,-1.525684,1.242957,2219.056641,-2820.997559,1068.532104
18,0,-0.066458,-0.148586,-1.595053,2465.882080,-1451.430542,999.877319,0.407373,-1.536629,1.235585,2219.112793,-2821.625000,1069.024902
19,0,-0.067180,-0.148462,-1.594854,2466.529053,-1451.158691,1000.008606,-0.030146,0.018069,1.614804,2213.493164,-2840.868408,1096.036377
20,0,-0.066782,-0.148707,-1.594361,2467.157959,-1450.857422,1000.140320,-0.031813,0.020069,1.615141,2213.459473,-2841.487061,1096.314941
21,0,-0.066282,-0.148838,-1.593961,2467.810059,-1450.481201,1000.308899,-0.036181,0.024252,1.615880,2213.332520,-2842.428711,1096.793457
22,0,-0.066088,-0.149822,-1.594118,2468.438965,-1450.076782,1000.446655,-0.029272,0.018556,1.613028,2213.034180,-2843.471191,1097.182983
23,0,-0.067387,-0.150577,-1.593912,2468.968018,-1449.674438,1000.506775,-0.020713,0.022192,1.626525,2209.568359,-2841.688965,1096.209229
24,0,-0.067987,-0.151868,-1.593476,2469.504395,-1449.244751,1000.552185,-0.025392,0.024534,1.625160,2209.321045,-2842.480469,1096.640015
25,0,-0.067586,-0.152753,-1.593953,2470.047852,-1448.777344,1000.712769,-0.472958,1.886843,0.902784,2227.257812,-2814.820801,1110.672974
26,0,-0.067243,-0.154051,-1.593892,2470.558838,-1448.274170,1000.817444,-0.482900,1.947980,0.866412,2226.859375,-2814.465332,1110.792358
27,0,-0.065579,-0.155156,-1.593195,2470.965576,-1447.842773,1000.899780,-0.493772,2.071130,0.787224,2227.620850,-2812.005127,1110.429199
28,0,-0.064749,-0.155833,-1.592912,2471.380615,-1447.437622,1000.905396,-0.043926,0.028182,1.601895,2211.338379,-2848.937988,1098.939575
29,0,-0.064397,-0.156389,-1.592522,2471.796143,-1447.022461,1000.876099,-0.062338,0.040009,1.611508,2211.383789,-2849.631592,1099.644043
30,0,-0.062986,-0.155937,-1.592751,2472.225586,-1446.590088,1000.801086,-0.055808,0.038507,1.603557,2211.256836,-2850.678711,1099.645630
31,0,-0.061583,-0.155107,-1.592526,2472.680420,-1446.142090,1000.709167,0.145087,-0.666876,1.536600,2209.630127,-2850.239990,1081.280640
32,0,-0.061586,-0.154235,-1.591704,2473.090820,-1445.666016,1000.549072,0.143310,-0.659441,1.534109,2209.173340,-2851.258789,1081.506470
33,0,-0.062028,-0.153226,-1.590959,2473.511719,-1445.191040,1000.377686,0.154518,-0.722868,1.524605,2209.373779,-2851.302002,1080.355713
34,0,-0.062505,-0.152659,-1.590135,2473.966797,-1444.683960,1000.096558,0.142363,-0.666127,1.533514,2208.709473,-2853.294189,1081.715332
35,0,-0.060725,-0.151753,-1.590105,2474.415283,-1444.115479,999.787048,0.137457,-0.643657,1.535978,2208.254395,-2854.522949,1082.166016
36,0,-0.061440,-0.152433,-1.589265,2474.704590,-1443.532715,999.439209,0.141231,-0.649217,1.535381,2207.885742,-2855.552979,1082.169434
37,0,-0.060983,-0.152425,-1.588482,2474.975098,-1442.932617,999.040283,0.146593,-0.661280,1.531631,2207.670898,-2856.375244,1082.114136
38,0,-0.060095,-0.152675,-1.587997,2475.211670,-1442.324341,998.602539,0.169386,-0.736286,1.516508,2207.736816,-2855.808105,1081.159546
39,0,-0.059951,-0.154123,-1.586875,2475.441406,-1441.650391,998.147583,0.193149,-0.792562,1.505128,2208.052002,-2856.483643,1080.765503
40,0,-0.060318,-0.155721,-1.585862,2475.693604,-1440.993164,997.687988,-0.020780,0.033091,1.588105,2207.714600,-2860.770752,1101.123413
41,0,-0.061227,-0.156369,-1.584859,2475.939697,-1440.369507,997.206421,0.033531,-0.011060,1.557494,2207.682861,-2866.279541,1103.031372
42,0,-0.055124,-0.154820,-1.586168,2476.273682,-1439.777832,996.898804,0.029837,0.003216,1.556464,2206.714111,-2866.883545,1103.019409
43,0,-0.054783,-0.154232,-1.586128,2476.477539,-1439.124023,996.388855,0.024141,0.009094,1.555501,2206.568115,-2867.934570,1103.151733
