timestamp,data
1722274208.7975926,"[-0.787994384765625, 0.5850605368614197, 1.3187018632888794, 0.012289086356759071, 0.02707282081246376, -0.00045733823208138347, 0.9995577931404114, 0.461741464816365, 0.06290483244498238, 0.15468785206363683, -0.07491142841812613, -1.1992700705988488, -0.011851047144399765]"
1722274208.7995207,"[-0.7856916189193726, 0.585675060749054, 1.3246722221374512, 0.012629981152713299, 0.025023572146892548, -0.00046877257409505546, 0.9996070265769958, 0.4539065007425068, 0.06518558603920645, 0.20063358108962534, 0.03275948647613211, -1.1503220169760289, -0.011699230721191915]"
1722274208.8045166,"[-0.783372700214386, 0.5859724283218384, 1.3255888223648071, 0.012640248984098434, 0.022154511883854866, -0.0005636775749735534, 0.9996744990348816, 0.45422592553537905, 0.06438925518174834, 0.20397241425420337, -0.07393078953914421, -1.157607525462517, -0.03413019052611393]"
1722274208.8093448,"[-0.7810667157173157, 0.5862412452697754, 1.3264316320419312, 0.012419912964105606, 0.019265826791524887, -0.0006794540677219629, 0.999737024307251, 0.45397806360720666, 0.06054104620237333, 0.19533589618346595, -0.017464787568140978, -1.1347509851839748, -0.024689883333948594]"
1722274208.814738,"[-0.778760552406311, 0.5865141153335571, 1.3273005485534668, 0.012524264864623547, 0.01652807742357254, -0.0007401439361274242, 0.9997846484184265, 0.45407611782647517, 0.05878153144121136, 0.1915756862958487, 0.03665100025714173, -1.0497995256025872, 0.004100410447311235]"
1722274208.8195581,"[-0.7764719128608704, 0.5867777466773987, 1.328176736831665, 0.012559435330331326, 0.01402552705258131, -0.0007925140089355409, 0.9998224377632141, 0.4530774792797248, 0.05698687855250148, 0.18914222875573963, 0.022574544066200873, -0.9491416870584315, -0.04020260218182719]"
1722274208.8248048,"[-0.7742516398429871, 0.5870295166969299, 1.3288978338241577, 0.012664212845265865, 0.011760592460632324, -0.0009589895489625633, 0.9998502135276794, 0.44460072995620525, 0.05437318691898183, 0.16417970100248286, 0.05495699632422621, -0.8695691141721781, -0.04087897198126183]"
1722274208.8298588,"[-0.7731320858001709, 0.5881808996200562, 1.3321459293365479, 0.012526477687060833, 0.00976139772683382, -0.0010839062742888927, 0.9998733401298523, 0.43992686909714807, 0.05719615913603064, 0.15948049621468177, 0.041321839418912015, -0.8093958810259237, -0.0444682563321449]"
1722274208.8344538,"[-0.7709470391273499, 0.5884470343589783, 1.3328983783721924, 0.012535943649709225, 0.007842007093131542, -0.0012274463661015034, 0.9998899698257446, 0.43624446868945166, 0.055173324207738586, 0.15122773360402444, -0.019752105816293133, -0.7111023525894004, -0.028042833905433686]"
1722274208.8399687,"[-0.7687767744064331, 0.5886998772621155, 1.3335990905761719, 0.01247998233884573, 0.006253302562981844, -0.0012748055160045624, 0.9999017715454102, 0.4328164583626956, 0.05303044887110107, 0.14204979005931967, -0.012353136948713905, -0.552142836335486, -0.006345482943232022]"
1722274208.8448186,"[-0.7666263580322266, 0.588979959487915, 1.3339780569076538, 0.012463593855500221, 0.005063944961875677, -0.0013128680875524879, 0.9999086856842041, 0.4287715624115515, 0.05418795821170357, 0.10546653501949259, -0.010977198397485007, -0.4099439792169121, -0.00870425594683803]"
1722274208.8496752,"[-0.7644848823547363, 0.5892331600189209, 1.334454894065857, 0.012417958118021488, 0.0042184400372207165, -0.0013756147818639874, 0.9999130964279175, 0.4258312566859351, 0.05301141725708677, 0.08970963755266645, -0.019683311160924002, -0.25560272802350315, -0.044571782080371006]"
1722274208.8573,"[-0.7623552680015564, 0.5894832611083984, 1.3348551988601685, 0.012405548244714737, 0.003784360596910119, -0.0015069072833284736, 0.9999147653579712, 0.4233268605519062, 0.051911938836636445, 0.07380094873759588, 0.021625754833188036, -0.10172242096643606, -0.03233028282256853]"
