Objects
100
,,Global Angle drone_agi:drone_agi,,,,,,Global Angle drone_leader:drone_leader,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.084128,-0.068634,-1.542715,813.220093,-1783.753418,1210.730591,2.595582,2.420097,1.846295,776.866821,-3515.723633,1268.774048
2,0,-0.019207,-0.129742,-1.540086,813.822510,-1782.409180,1205.594727,2.593992,2.423797,1.847273,777.093994,-3515.450928,1268.608154
3,0,-0.032123,-0.114796,-1.540206,813.943542,-1780.767456,1205.720581,2.597828,2.418371,1.843751,776.410706,-3515.389648,1268.788452
4,0,0.041941,-0.107259,-4.681802,815.022156,-1785.803467,1215.697632,2.591145,2.425548,1.847168,776.442627,-3514.967041,1268.725708
5,0,0.045680,-0.097132,-4.680340,815.131348,-1784.113159,1214.775146,2.592587,2.427138,1.844025,776.395996,-3514.811035,1268.637573
6,0,0.042839,-0.084659,-4.681723,815.664124,-1782.330811,1213.799194,2.592995,2.427529,1.842833,776.298035,-3514.736816,1268.594727
7,0,0.046806,-0.066491,-4.680240,815.826843,-1780.493042,1212.874878,2.594722,2.428210,1.845076,776.143188,-3514.590088,1268.240112
8,0,0.051858,-0.046524,-4.680053,816.197327,-1778.608643,1211.922485,2.592342,2.427699,1.842669,776.040527,-3514.600342,1268.486694
9,0,0.053826,-0.029445,-4.679338,816.680298,-1776.655396,1210.899170,2.590652,2.426596,1.844903,775.837830,-3514.613770,1268.450317
10,0,0.057601,-0.028197,-4.681070,817.262268,-1774.763794,1210.109619,0.047723,-0.048776,1.563052,815.718567,-3477.491211,1214.492798
11,0,0.065315,-0.004826,-4.679077,817.593872,-1772.758789,1209.113403,0.047454,-0.048816,1.563359,815.597534,-3477.427246,1214.423096
12,0,0.065012,0.018034,-4.679542,818.380554,-1770.656006,1207.976440,0.046866,-0.047061,1.566097,815.421021,-3477.223145,1214.331787
13,0,0.065503,0.045297,-4.677609,818.900208,-1768.483887,1206.936890,0.049831,-0.048960,1.566522,815.354980,-3477.349365,1214.423218
14,0,0.065518,0.061817,-4.678240,819.825195,-1766.312256,1205.798218,0.046027,-0.047287,1.566817,815.168945,-3477.086182,1214.232788
15,0,0.063867,0.078413,-4.677267,820.682739,-1764.035034,1204.748779,0.046719,-0.047309,1.566464,814.964050,-3477.065430,1214.073242
16,0,-0.115838,0.026248,-1.536546,821.147522,-1754.139038,1203.387817,0.045054,-0.046818,1.567638,814.939331,-3476.955566,1214.146606
17,0,-0.110771,0.028146,-1.536351,822.164734,-1751.770996,1202.412720,0.044609,-0.048291,1.565783,814.868286,-3477.007080,1214.126831
18,0,-0.106136,0.028774,-1.536138,823.187500,-1749.308350,1201.438354,0.044013,-0.048660,1.565747,814.723938,-3476.947510,1214.095093
19,0,-0.098009,0.030675,-1.536706,824.186646,-1746.857788,1200.445557,0.043763,-0.048453,1.566357,814.576111,-3476.887207,1214.044800
20,0,-0.097912,0.031544,-1.534604,825.113647,-1744.523193,1199.757935,0.040174,-0.053750,1.568723,815.184143,-3476.138916,1214.773438
