timestamp,data
1722539255.2897751,"[-0.03361878067966148, 0.04273324031282422, 0.08428593902074405, 0.0, 0.0, 0.0]"
1722539255.2900462,"[-0.032212164333133245, 0.04326178127105953, 0.08621477764722567, 0.0, 0.0, 0.0]"
1722539255.2900777,"[-0.031243179301302604, 0.04209228214849356, 0.08390498827081434, 0.0, 0.0, 0.0]"
1722539255.2900887,"[-0.029747454335364687, 0.04293481000129152, 0.0845517933888869, 0.0, 0.0, 0.0]"
1722539255.290107,"[-0.028393750052626295, 0.043634872361615375, 0.08617357348161286, 0.0, 0.0, 0.0]"
1722539255.2901235,"[0.08865821443275285, 0.05051499948678639, 0.10446229020863425, 0.0, 0.0, 0.0]"
1722539255.2901301,"[0.09114814367957891, 0.05120978166778516, 0.10693748133187174, 0.0, 0.0, 0.0]"
1722539255.2901478,"[0.09465682872349873, 0.051645842531294124, 0.11201638103520593, 0.0, 0.0, 0.0]"
1722539255.2901564,"[0.09340085964385018, 0.05093530021314904, 0.1105397392649305, 0.0, 0.0, 0.0]"
1722539255.2901626,"[0.09405553856658745, 0.051292323345484205, 0.1113145505214604, 0.0, 0.0, 0.0]"
1722539255.290198,"[0.09795600107690827, 0.051812906456880435, 0.1176153468478517, 0.0, 0.0, 0.0]"
1722539255.290214,"[0.09991443325168498, 0.05237566975383618, 0.11997050620520243, 0.0, 0.0, 0.0]"
1722539255.290242,"[0.1037741157281032, 0.05252863908659937, 0.1264012352635591, 0.0, 0.0, 0.0]"
1722539255.2902484,"[0.0820690866863491, 0.05747845020121411, 0.09704085456795009, 0.0, 0.0, 0.0]"
1722539255.2902646,"[0.08405637568566413, 0.05801637540738438, 0.09922142924757808, 0.0, 0.0, 0.0]"
1722539255.290285,"[0.0846415237586411, 0.05842020827472689, 0.09991213884810421, 0.0, 0.0, 0.0]"
1722539255.2903178,"[0.08846911851920372, 0.05986022191032731, 0.10397326480197863, 0.0, 0.0, 0.0]"
1722539255.2903235,"[0.08652003635573288, 0.058081533490431415, 0.10171052214615577, 0.0, 0.0, 0.0]"
1722539255.2903404,"[0.08802124032091038, 0.058831106647520344, 0.10325110654569349, 0.0, 0.0, 0.0]"
1722539255.290372,"[0.08863396082185396, 0.05924062061781252, 0.10396983212273818, 0.0, 0.0, 0.0]"
1722539255.2916262,"[0.09231575607654205, 0.06051246659753506, 0.10739812446724664, 0.0, 0.0, 0.0]"
1722539255.2916977,"[0.10225971940500699, 0.0639851654809552, 0.1626092268109322, 0.0, 0.0, 0.0]"
1722539255.2920065,"[0.10393347506970159, 0.06471457364810657, 0.16443654444832087, 0.0, 0.0, 0.0]"
1722539255.2920287,"[0.10628577608929896, 0.06512841150696949, 0.16600632691570802, 0.0, 0.0, 0.0]"
1722539255.2920377,"[0.10703076984693423, 0.06558491906426132, 0.16716992266511718, 0.0, 0.0, 0.0]"
1722539255.293734,"[0.11276021331414579, 0.06735619687155364, 0.17105905112265105, 0.0, 0.0, 0.0]"
1722539255.2963016,"[0.11193213438807202, 0.06843403555986784, 0.1879956132037376, 0.0, 0.0, 0.0]"
1722539255.2963321,"[0.11371783780149639, 0.06878740165990237, 0.1902016611688136, 0.0, 0.0, 0.0]"
1722539255.3035786,"[0.11450942611995012, 0.06926619411672871, 0.19152561398358955, 0.0, 0.0, 0.0]"
1722539255.303615,"[0.11888523833752382, 0.07038320722580409, 0.19402842893231126, 0.0, 0.0, 0.0]"
1722539255.3117683,"[0.11756683370105755, 0.07089581288156642, 0.21081585549437168, 0.0, 0.0, 0.0]"
1722539255.3118167,"[0.11839090029242011, 0.07139274614942787, 0.21229353672447243, 0.0, 0.0, 0.0]"
1722539255.3118365,"[0.12023057618442609, 0.07216477483709173, 0.21383761505189866, 0.0, 0.0, 0.0]"
1722539255.311857,"[0.11858244300170098, 0.07117090830136884, 0.2108822525916972, 0.0, 0.0, 0.0]"
1722539255.3132048,"[0.12281720110196882, 0.07295215843226312, 0.21190855116604088, 0.0, 0.0, 0.0]"
1722539255.3132706,"[0.12517292492098395, 0.07351863013430356, 0.21145339148065628, 0.0, 0.0, 0.0]"
1722539255.3132887,"[0.12752150925211367, 0.07424841653692332, 0.21129680274967105, 0.0, 0.0, 0.0]"
1722539255.3133762,"[0.11762745424734852, 0.07460188335936324, 0.2269403106243044, 0.0, 0.0, 0.0]"
1722539255.3134277,"[0.11996011737885541, 0.07546399132523927, 0.2271853758437678, 0.0, 0.0, 0.0]"
1722539255.3134682,"[0.12162839917763113, 0.07629775480163634, 0.22824008059518605, 0.0, 0.0, 0.0]"
1722539255.313494,"[0.13404615776708287, 0.07470421000930084, 0.24686422475410036, 0.0, 0.0, 0.0]"
1722539255.3135111,"[0.13498573363928207, 0.07522783764955294, 0.24859458146966648, 0.0, 0.0, 0.0]"
1722539255.3135278,"[0.13817008181256438, 0.07629521738876086, 0.24842376183373469, 0.0, 0.0, 0.0]"
1722539255.3135393,"[0.12695966734980954, 0.0748667885785755, 0.25641828431799696, 0.0, 0.0, 0.0]"
1722539255.3135543,"[0.1278495715602054, 0.07539155578823842, 0.2582156087407867, 0.0, 0.0, 0.0]"
1722539255.3136342,"[0.12954497966670156, 0.07627413082508006, 0.2594499417029656, 0.0, 0.0, 0.0]"
1722539255.3136547,"[0.1326629382362918, 0.07767783777489004, 0.26027361158654566, 0.0, 0.0, 0.0]"
1722539255.3136785,"[0.14083884534497867, 0.07662510071922243, 0.26311928236862003, 0.0, 0.0, 0.0]"
1722539255.3137558,"[0.14269693724468696, 0.07761803750727979, 0.2640270345527061, 0.0, 0.0, 0.0]"
1722539255.3137805,"[0.14442932240408968, 0.07751011350312936, 0.2646107348650623, 0.0, 0.0, 0.0]"
1722539255.3138137,"[0.14588142709782528, 0.07756593044552262, 0.265315835574095, 0.0, 0.0, 0.0]"
1722539255.313828,"[0.14290247310700685, 0.07595280814828716, 0.25980487248372447, 0.0, 0.0, 0.0]"
1722539255.3138351,"[0.14441816515714212, 0.07648719176040106, 0.26014966430225595, 0.0, 0.0, 0.0]"
1722539255.313869,"[0.146012879292505, 0.0773378739690871, 0.259938688098242, 0.0, 0.0, 0.0]"
1722539255.313897,"[0.1403341714644024, 0.07818922145083526, 0.2646674435246685, 0.0, 0.0, 0.0]"
1722539255.3139272,"[0.14131782219896596, 0.07873727674137851, 0.26652258915685073, 0.0, 0.0, 0.0]"
1722539255.3139365,"[0.1420386701329822, 0.08119975996838492, 0.26453826964402116, 0.0, 0.0, 0.0]"
1722539255.3139448,"[0.143020478791841, 0.08176123414633328, 0.2663665031373365, 0.0, 0.0, 0.0]"
1722539255.3139524,"[0.13870768724116775, 0.08393506196307639, 0.2775378138843754, 0.0, 0.0, 0.0]"
1722539255.3139784,"[0.13971082700738838, 0.0850976315611688, 0.27740656885309456, 0.0, 0.0, 0.0]"
1722539255.319376,"[0.14092065911014087, 0.08735569689127173, 0.27223306572778905, 0.0, 0.0, 0.0]"
1722539255.3232212,"[0.1389759423056711, 0.08617501209932776, 0.2683569043430068, 0.0, 0.0, 0.0]"
1722539255.33201,"[0.1399736306021094, 0.08719470493982838, 0.2673836657775605, 0.0, 0.0, 0.0]"
1722539255.3432329,"[0.14113927835669068, 0.08921608572271933, 0.2642884697811593, 0.0, 0.0, 0.0]"
1722539255.352384,"[0.16255506074455153, 0.08497270376929132, 0.2954653761758929, 0.0, 0.0, 0.0]"
1722539255.3615396,"[0.16369446537593857, 0.08556830683309476, 0.29753639516778, 0.0, 0.0, 0.0]"
1722539255.364305,"[0.16459084585899109, 0.08688485188823604, 0.29577817584408056, 0.0, 0.0, 0.0]"
1722539255.3743918,"[0.162312036596217, 0.08569364576062916, 0.2916361378603064, 0.0, 0.0, 0.0]"
1722539255.379759,"[0.16344973778731198, 0.08629430215614758, 0.2936803163967104, 0.0, 0.0, 0.0]"
1722539255.3841963,"[0.16283785907631146, 0.08713049447868891, 0.2913638644051919, 0.0, 0.0, 0.0]"
1722539255.394414,"[0.16326463747750228, 0.08801168890432183, 0.2909020256119101, 0.0, 0.0, 0.0]"
1722539255.4020185,"[0.1417425998099691, 0.08539197419279797, 0.29788882135274275, 0.0, 0.0, 0.0]"
1722539255.4034188,"[0.14273612270583336, 0.08599051606798112, 0.29997682710988816, 0.0, 0.0, 0.0]"
1722539255.4098423,"[0.14317621267736422, 0.08680632964038985, 0.2990485775124338, 0.0, 0.0, 0.0]"
1722539255.4185805,"[0.14305257303668073, 0.08790182301289051, 0.29506294684436635, 0.0, 0.0, 0.0]"
1722539255.4260185,"[0.13969136357134923, 0.0862290246263174, 0.2868596672098395, 0.0, 0.0, 0.0]"
1722539255.4312334,"[0.140670508643111, 0.08683343367743644, 0.2888703658117776, 0.0, 0.0, 0.0]"
1722539255.4390502,"[0.14072294100964802, 0.08640560439658858, 0.28749373079575563, 0.0, 0.0, 0.0]"
1722539255.4431787,"[0.1467283224241718, 0.08709409876480735, 0.2848042399591054, 0.0, 0.0, 0.0]"
1722539255.4499114,"[0.14716424781754256, 0.08736512795747522, 0.28475398406890146, 0.0, 0.0, 0.0]"
1722539255.4590392,"[0.1473882446085073, 0.08774241610030442, 0.28400188178970526, 0.0, 0.0, 0.0]"
1722539255.4694023,"[0.14751561351924133, 0.08743260303907234, 0.283954123040346, 0.0, 0.0, 0.0]"
1722539255.4721577,"[0.14249434947007997, 0.09090336365304656, 0.2728663541533697, 0.0, 0.0, 0.0]"
1722539255.4834108,"[0.14249044615055423, 0.09055287453420409, 0.27251191930303953, 0.0, 0.0, 0.0]"
1722539255.4950492,"[0.1434822100803302, 0.09118312477783368, 0.27440864340120164, 0.0, 0.0, 0.0]"
1722539255.4967165,"[0.13974500975897902, 0.08936933661694263, 0.26605345974016065, 0.0, 0.0, 0.0]"
1722539255.4999502,"[0.14072453085542044, 0.08999575720070624, 0.2679183204392739, 0.0, 0.0, 0.0]"
1722539255.5093577,"[0.14041453979335525, 0.090544361969265, 0.268724785011941, 0.0, 0.0, 0.0]"
1722539255.5182683,"[0.1382904804316844, 0.09081564688393659, 0.26570163143311787, 0.0, 0.0, 0.0]"
1722539255.5265145,"[0.15859804454963236, 0.0905757630215593, 0.26633297444281717, 0.0, 0.0, 0.0]"
1722539255.5342362,"[0.15853383598963525, 0.09105828658150392, 0.26495324402026904, 0.0, 0.0, 0.0]"
1722539255.5385718,"[0.15779923453474223, 0.09145195039506755, 0.26373403697320946, 0.0, 0.0, 0.0]"
1722539255.548532,"[0.15709284131551043, 0.09176963563283766, 0.2622093793658954, 0.0, 0.0, 0.0]"
1722539255.5538824,"[0.1537872033370513, 0.08986882415598613, 0.2566759035349097, 0.0, 0.0, 0.0]"
1722539255.557979,"[0.1529177840087782, 0.08984601533398258, 0.2542054479612043, 0.0, 0.0, 0.0]"
1722539255.5767787,"[0.15237824783655846, 0.08969352638155682, 0.254455945065734, 0.0, 0.0, 0.0]"
1722539255.5800312,"[0.14606597617785413, 0.08847457622336732, 0.2565075831834655, 0.0, 0.0, 0.0]"
1722539255.5832243,"[0.1470898031136802, 0.08909472512212924, 0.2583055335328823, 0.0, 0.0, 0.0]"
1722539255.5882323,"[0.1447836532907206, 0.08840158327447122, 0.2560950846512924, 0.0, 0.0, 0.0]"
1722539255.5982819,"[0.1430648775721029, 0.08772641195142233, 0.25303606011615365, 0.0, 0.0, 0.0]"
1722539255.6011097,"[0.14692678901962977, 0.09216075693653493, 0.24498034888740652, 0.0, 0.0, 0.0]"
1722539255.614869,"[0.1479566496903281, 0.09280674355057605, 0.24669750086558928, 0.0, 0.0, 0.0]"
1722539255.6208837,"[0.14588600307835026, 0.09159548424833114, 0.2435398563391079, 0.0, 0.0, 0.0]"
1722539255.6247115,"[0.14210669875136464, 0.08947096212798555, 0.2371492572943545, 0.0, 0.0, 0.0]"
1722539255.6326113,"[0.14011644737831347, 0.08874643998459728, 0.23320790597652513, 0.0, 0.0, 0.0]"
1722539255.6487637,"[0.13821737654877989, 0.0884204121011649, 0.22971227222510748, 0.0, 0.0, 0.0]"
1722539255.6534033,"[0.15794945912944264, 0.0914661114530963, 0.22406532880367222, 0.0, 0.0, 0.0]"
1722539255.6566365,"[0.15905658150651816, 0.0921072290567395, 0.22563588017379144, 0.0, 0.0, 0.0]"
