layout,data,timestamp
"dim: []
data_offset: 0","(1.6466761782657175, -0.02501599143515327, 0.9771408871708627, 0.020516586722684724, -0.0004589307489230918, -0.0032666584537409758, 1.0, 0.0, 0.0, 0.0, 0.0, 0.07584762573242188, 1724025233.1007845)",1724025233.101388
"dim: []
data_offset: 0","(1.6589967139844373, -0.03342827604815988, 0.9568117548885734, 0.026063654959974238, -0.00786823723735249, -0.0021886743674987856, 1.0, 0.0, 0.0, 0.0, 0.0, 0.040134429931640625, 1724025233.142006)",1724025233.1426253
"dim: []
data_offset: 0","(1.6681273151961986, -0.043719930328062026, 0.9560109606559506, 0.03584470686829076, -0.029027294682393758, -0.003982530279566389, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030358552932739258, 1724025233.1788702)",1724025233.1802466
"dim: []
data_offset: 0","(1.6524793655938574, -0.05372839996064273, 0.949785358490828, 0.05163580323997953, -0.06305645084255969, 0.006546926923367083, 1.0, 1.0, 0.0, 0.0, 0.0, 0.028536081314086914, 1724025233.2083054)",1724025233.2106686
"dim: []
data_offset: 0","(1.6524793655938574, -0.05372839996064273, 0.949785358490828, 0.05163580323997953, -0.06305645084255969, 0.006546926923367083, 1.0, 1.0, 0.0, 0.0, 0.0, 1.8835067749023438e-05, 1724025233.2087803)",1724025233.2106857
"dim: []
data_offset: 0","(1.6524793655938574, -0.05372839996064273, 0.949785358490828, 0.05163580323997953, -0.06305645084255969, 0.006546926923367083, 1.0, 1.0, 0.0, 0.0, 0.0, 1.3589859008789062e-05, 1724025233.2090814)",1724025233.2107062
"dim: []
data_offset: 0","(1.6524793655938574, -0.05372839996064273, 0.949785358490828, 0.05163580323997953, -0.06305645084255969, 0.006546926923367083, 1.0, 1.0, 0.0, 0.0, 0.0, 2.2649765014648438e-05, 1724025233.2271616)",1724025233.2276082
"dim: []
data_offset: 0","(1.6695738405983873, -0.07060096190648404, 0.9593301061179966, 0.04410237063981649, -0.058184645924259426, 0.0306056805977636, 1.0, 0.0, 0.0, 0.0, 0.0, 0.030237674713134766, 1724025233.2823575)",1724025233.2831264
"dim: []
data_offset: 0","(1.6903332573832754, -0.08662442258521169, 0.9720766381206221, 0.0470524451663701, -0.05550231311670097, 0.04394936965942634, 1.0, 0.0, 0.0, 0.0, 0.0, 0.025992631912231445, 1724025233.3100188)",1724025233.3110104
"dim: []
data_offset: 0","(1.692686842186041, -0.08479183472462119, 1.0025248552845176, 0.055881264494180106, -0.053823571952579155, 0.061737951988962765, 1.0, 0.0, 0.0, 0.0, 0.0, 0.026116609573364258, 1724025233.3442104)",1724025233.344698
"dim: []
data_offset: 0","(1.689642816056387, -0.08997119606260086, 1.0124395491002318, 0.048413932498158216, -0.055790577447714026, 0.07970390825034825, 1.0, 0.0, 0.0, 0.0, 0.0, 0.027244091033935547, 1724025233.3729072)",1724025233.3756127
