Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
1,0,0.006710,0.067468,1.471806,407.932831,-3031.853027,1040.481812
2,0,0.008247,0.061346,1.471241,407.952759,-3031.529297,1040.438843
3,0,0.006451,0.065924,1.471758,407.823029,-3031.422852,1040.637329
4,0,-0.010257,0.102931,1.465983,407.529724,-3031.564941,1042.589478
5,0,-0.017979,0.121623,1.469400,407.163116,-3031.405273,1043.217773
6,0,-0.012689,0.108706,1.468526,407.155121,-3031.314941,1042.943481
7,0,-0.014251,0.097016,1.467681,407.231110,-3031.037598,1042.252197
8,0,-0.003130,0.051802,1.469552,407.583191,-3031.292236,1041.414673
9,0,0.023261,-0.050933,1.476713,407.399200,-3031.225098,1038.798950
10,0,0.033700,-0.061114,1.478590,407.004791,-3031.218994,1039.236816
11,0,0.047895,-0.064015,1.475414,406.005859,-3030.155273,1039.153198
12,0,0.035588,-0.059749,1.472425,406.120239,-3030.237793,1039.419312
13,0,0.035302,-0.058724,1.472760,406.000580,-3030.087646,1039.448364
14,0,0.036085,-0.059372,1.472972,405.967590,-3029.924072,1039.480713
15,0,0.035912,-0.057888,1.473411,405.790924,-3029.736572,1039.411255
16,0,0.024287,-0.037968,1.474525,405.612946,-3029.544189,1039.125854
17,0,0.026608,-0.039972,1.474359,405.471313,-3029.445312,1039.220825
18,0,0.033208,-0.045652,1.477910,404.965881,-3029.315430,1039.742554
19,0,0.030588,-0.039167,1.483561,405.522705,-3029.721680,1039.847290
20,0,0.030811,-0.038924,1.483433,405.472839,-3029.630859,1039.858032
21,0,0.032222,-0.049769,1.483370,405.823120,-3029.687500,1039.650391
22,0,0.032571,-0.050296,1.483617,405.749573,-3029.607178,1039.679810
23,0,0.030582,-0.049106,1.482695,405.691223,-3029.511963,1039.710938
24,0,0.033354,-0.051662,1.483589,405.617493,-3029.492920,1039.784668
25,0,0.043177,-0.044919,1.486836,405.150940,-3029.133545,1039.840576
26,0,0.043184,-0.045121,1.486558,405.039948,-3029.106689,1039.939575
27,0,0.042978,-0.045375,1.486827,405.055145,-3029.075684,1040.008911
28,0,0.043661,-0.045371,1.486962,405.071594,-3029.012939,1040.051147
29,0,0.043842,-0.046223,1.486586,404.945557,-3028.991455,1040.158081
30,0,0.045312,-0.047760,1.486846,404.939117,-3029.024658,1040.274048
31,0,0.045313,-0.047407,1.487379,405.009277,-3028.986572,1040.333740
32,0,0.045299,-0.047657,1.487473,405.015015,-3028.992920,1040.350220
33,0,0.038751,-0.052416,1.481214,403.605194,-3028.044922,1040.470459
34,0,0.049102,-0.056119,1.481157,404.411469,-3028.476318,1040.380981
35,,,,,,,
36,,,,,,,
37,0,-0.006789,0.085178,1.470938,405.643890,-3028.170410,1042.932251
38,0,-0.012282,0.104194,1.470361,405.578339,-3028.504150,1043.868164
39,0,-0.008955,0.089764,1.469573,405.795776,-3028.398682,1043.404541
40,0,-0.010380,0.100728,1.471393,405.744720,-3028.504639,1043.761597
41,0,-0.008552,0.087735,1.469989,405.843506,-3028.457031,1043.351074
