layout,data,timestamp
"dim: []
data_offset: 0","(0.0, 1.0, -0.07055313035696195, -0.00015401575697350186, 0.8687430634960315, 0.12091492261682787, 0.05394753465404907, 0.9849167816917828, 1.82353759765625, 2.366891357421875, 1.023366455078125, 1724190877.619057)",1724190877.6194131
"dim: []
data_offset: 0","(0.0, 1.0, -0.0684047961549897, 0.0007473867954249551, 0.8693632186314583, 0.12251149489008353, 0.05812788172334148, 0.9832064037917903, 1.82353759765625, 2.366891357421875, 1.023366455078125, 1724190877.6390162)",1724190877.64002
"dim: []
data_offset: 0","(0.0, 1.0, -0.06218029324591347, 0.005424824130032996, 0.8674985951580862, 0.1252204337695927, 0.056892813262573845, 0.9845862067773482, 1.8283055419921874, 2.37047900390625, 1.022319580078125, 1724190877.6791773)",1724190877.6804464
"dim: []
data_offset: 0","(0.0, 1.0, -0.05785235032203707, 0.0069083758751709076, 0.8639326294020278, 0.12522043376959277, 0.056892813262573845, 0.9845862067773482, 1.8325169677734374, 2.37360107421875, 1.0201630249023437, 1724190877.7099664)",1724190877.7106981
"dim: []
data_offset: 0","(0.0, 1.0, -0.05506562239244346, 0.008505944027160615, 0.8617634556738982, 0.12641842885759985, 0.05883795965942508, 0.9781856331022053, 1.8325169677734374, 2.37360107421875, 1.0201630249023437, 1724190877.7391088)",1724190877.7420304
"dim: []
data_offset: 0","(0.0, 1.0, -0.04951301768588366, 0.01250331882987937, 0.8569169530300729, 0.13024586914183145, 0.06196459466453624, 0.9744847854227799, 1.8380516357421874, 2.37777587890625, 1.0152047729492188, 1724190877.7794762)",1724190877.781129
"dim: []
data_offset: 0","(0.0, 1.0, -0.04677978929428611, 0.014436566244660652, 0.8544010598672355, 0.12194645231605111, 0.05596988839721592, 0.9702589612120075, 1.8380516357421874, 2.37777587890625, 1.0152047729492188, 1724190877.7996109)",1724190877.800058
"dim: []
data_offset: 0","(0.0, 1.0, -0.04538846564565165, 0.015863620260980125, 0.8523958950901628, 0.12194645231605108, 0.05596988839721592, 0.9702589612120075, 1.843919921875, 2.3822802734375, 1.0085128173828124, 1724190877.8108187)",1724190877.815095
"dim: []
data_offset: 0","(0.0, 1.0, -0.04199215911043379, 0.018531061314460882, 0.8486315699339416, 0.11914499293287735, 0.05607865769754034, 0.9632267306067026, 1.843919921875, 2.3822802734375, 1.0085128173828124, 1724190877.8492982)",1724190877.8507469
"dim: []
data_offset: 0","(0.0, 1.0, -0.040724460353945176, 0.019617115412326882, 0.8467960351174602, 0.11914499293287739, 0.05607865769754035, 0.9632267306067026, 1.8498935546875, 2.38687548828125, 1.0004061889648437, 1724190877.8734581)",1724190877.8766918
"dim: []
data_offset: 0","(0.0, 1.0, -0.03474223509362711, 0.024658501047324876, 0.8358884411998051, 0.11914499293287735, 0.056078657697540335, 0.9632267306067026, 1.8552388916015625, 2.3906962890625, 0.9934507446289063, 1724190877.9052582)",1724190877.9064162
"dim: []
data_offset: 0","(0.0, 1.0, -0.030490124738439747, 0.02833974692763438, 0.8288505848602622, 0.10733874181465315, 0.056126055279515544, 0.9492921141653123, 1.8552388916015625, 2.3906962890625, 0.9934507446289063, 1724190877.9528425)",1724190877.9552
"dim: []
data_offset: 0","(0.0, 1.0, -0.026010666795338495, 0.03425696964884279, 0.819750346208508, 0.10202920230139677, 0.05536953925115587, 0.9290673289704192, 1.8621129150390625, 2.395794189453125, 0.9842247924804688, 1724190877.9851265)",1724190877.988126
"dim: []
data_offset: 0","(0.0, 1.0, -0.01646598547498521, 0.04019576342600987, 0.8138919343539388, 0.10202920230139668, 0.05536953925115587, 0.9290673289704192, 1.8677332763671874, 2.399833740234375, 0.9770480346679687, 1724190878.0232067)",1724190878.0235932
"dim: []
data_offset: 0","(0.0, 1.0, -0.01576713549825705, 0.04143575543979571, 0.8126798581028862, 0.09739560501025189, 0.05532881168702829, 0.9250478070758716, 1.87326513671875, 2.40359326171875, 0.9703480224609375, 1724190878.037941)",1724190878.0520005
