Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
1,0,0.000060,-0.040725,1.561799,2452.821777,-3196.552734,1053.811157,0.025447,-0.164657,-1.598686,2412.005859,-1845.250366,1025.977783
2,0,-0.009658,-0.027792,1.561762,2452.712646,-3198.838623,1054.159424,0.027690,-0.164952,-1.600273,2411.781738,-1846.205200,1025.635742
3,0,-0.002155,-0.037803,1.559017,2452.717773,-3201.438965,1054.730103,0.027717,-0.165668,-1.600294,2411.575195,-1847.268188,1025.425049
4,0,-0.003709,-0.043280,1.555990,2452.627197,-3203.672119,1054.684937,0.025130,-0.165501,-1.599456,2411.364502,-1848.335938,1025.309082
5,0,-0.000976,-0.049145,1.550960,2452.724854,-3206.458496,1055.298706,0.024196,-0.166387,-1.599239,2411.166016,-1849.336792,1025.130005
6,0,-0.017253,-0.007589,1.560350,2452.998535,-3209.699951,1056.510742,0.023538,-0.167639,-1.599287,2410.869873,-1850.329468,1024.949829
7,0,-0.013050,-0.016154,1.558382,2452.873779,-3212.056885,1056.546631,0.019353,-0.172473,-1.598519,2410.504883,-1851.176270,1024.503296
8,0,-0.018714,-0.004660,1.557800,2452.653320,-3214.625488,1056.989746,0.016063,-0.173387,-1.597014,2410.252197,-1852.215942,1024.451782
9,0,-0.019802,-0.002904,1.556617,2452.337646,-3217.189941,1057.061523,0.014444,-0.174773,-1.597459,2409.945801,-1853.137939,1024.274170
10,0,-0.019818,-0.004513,1.553564,2452.116455,-3219.646484,1057.214478,0.019718,-0.175071,-1.600133,2409.605713,-1854.079712,1024.138794
11,0,-0.012976,-0.005907,1.557170,2451.973389,-3222.770264,1057.910889,0.016308,-0.175099,-1.599184,2409.212646,-1855.094482,1024.107788
12,0,-0.024502,0.029448,1.566984,2451.322266,-3225.857666,1058.502808,0.016964,-0.176835,-1.600059,2408.838379,-1855.962036,1023.893860
13,0,-0.022638,0.026979,1.565109,2451.067139,-3228.571533,1058.869751,0.014452,-0.176539,-1.599492,2408.467529,-1857.017578,1023.905151
14,0,-0.022170,0.029412,1.563604,2450.719482,-3231.276367,1059.033691,0.014548,-0.176069,-1.599510,2408.028564,-1858.029053,1023.790466
15,0,-0.021374,0.030417,1.562831,2450.302734,-3233.914062,1059.156372,0.013969,-0.176393,-1.599420,2407.520020,-1859.031860,1023.644775
16,0,-0.023747,0.035415,1.560903,2450.019775,-3236.541504,1059.248291,0.014125,-0.176929,-1.599479,2407.010010,-1860.006592,1023.519775
17,0,-0.020532,0.034782,1.560046,2449.575195,-3239.356201,1059.511108,0.015871,-0.177904,-1.600361,2406.457520,-1860.814453,1023.311401
18,0,-0.015575,0.031696,1.556997,2449.991455,-3243.104004,1060.406982,0.013770,-0.177392,-1.599599,2405.971680,-1861.768066,1023.327942
19,0,-0.014698,0.030217,1.555056,2449.586914,-3245.961182,1060.760864,0.012835,-0.178504,-1.599588,2405.392578,-1862.648926,1023.182495
20,0,-0.019220,0.037799,1.554906,2448.860840,-3248.369873,1060.733521,0.011402,-0.180097,-1.599164,2404.807129,-1863.485107,1023.012756
21,0,-0.019758,0.039706,1.554995,2448.553955,-3251.212158,1061.044678,0.011530,-0.182585,-1.599726,2404.190918,-1864.186646,1022.668152
22,0,-0.022196,0.041740,1.553248,2447.814209,-3253.816650,1061.094727,0.007491,-0.183078,-1.598949,2403.616211,-1865.033203,1022.560242
23,0,-0.022767,0.039480,1.551965,2447.394531,-3256.505615,1061.308350,0.006435,-0.183757,-1.598776,2403.032471,-1865.806274,1022.345093
